phase,reuse,replicate,variant,curve_index,x,seed,samples,estimate,exact,error,empirical_stderr
1,10,0,point_selected_uniform,2,0.0,14258794670442633725,10000,-0.5191954972170291,-0.5187412158785353,-0.0004542813384937894,0.0005656726670186747
1,10,0,point_selected_uniform,2,1.0,14258794670442633726,10000,-0.2839964310864741,-0.28394020618429017,-5.622490218393228e-05,0.0004958558775978967
1,10,0,point_selected_uniform,2,2.0,14258794670442633727,10000,-0.1269506767084396,-0.1273050380753717,0.0003543613669320933,0.0002726745474640164
1,10,0,point_selected_uniform,3,-2.0,13020580943448820422,10000,-0.888698430154187,-0.8884494598171035,-0.00024897033708348726,0.001257782957610017
1,10,0,point_selected_uniform,3,-1.0,13020580943448820423,10000,-0.745487972326043,-0.7455466141264027,5.864180035963784e-05,0.0007016984367146116
1,10,0,point_selected_uniform,3,0.0,13020580943448820424,10000,-0.5191326775773719,-0.5187412158785353,-0.00039146169883663706,0.0005632510829085165
1,10,0,point_selected_uniform,3,1.0,13020580943448820425,10000,-0.2842230244980944,-0.28394020618429017,-0.00028281831380422284,0.0004787132467319937
1,10,0,point_selected_uniform,3,2.0,13020580943448820426,10000,-0.12753342584458666,-0.1273050380753717,-0.00022838776921496606,0.0002723028788810998
1,10,0,point_selected_uniform,4,-2.0,592197311426814867,10000,-0.8882454910465978,-0.8884494598171035,0.00020396877050576911,0.0012492505480056104
1,10,0,point_selected_uniform,4,-1.0,592197311426814868,10000,-0.7454638007138961,-0.7455466141264027,8.281341250659935e-05,0.0006851238843882875
1,10,0,point_selected_uniform,4,0.0,592197311426814869,10000,-0.5194415193236213,-0.5187412158785353,-0.0007003034450859813,0.0005625380958985497
1,10,0,point_selected_uniform,4,1.0,592197311426814870,10000,-0.28464337742974033,-0.28394020618429017,-0.0007031712454501626,0.0004863393708764229
1,10,0,point_selected_uniform,4,2.0,592197311426814871,10000,-0.1277019072244457,-0.1273050380753717,-0.0003968691490739973,0.0002804284654055835
1,10,0,point_selected_uniform,5,-2.0,8016085926590994937,10000,-0.8893111086872965,-0.8884494598171035,-0.0008616488701929104,0.0012107394748159396
1,10,0,point_selected_uniform,5,-1.0,8016085926590994938,10000,-0.7446574030415907,-0.7455466141264027,0.0008892110848119916,0.0007742348443742522
1,10,0,point_selected_uniform,5,0.0,8016085926590994939,10000,-0.5187738184585605,-0.5187412158785353,-3.2602580025242744e-05,0.0005729844722431804
